cue,total,cue_mfd2,response_mfd1,cue_mfd1,response_mfd2,cue_hte,response_hte,response_emotion,cue_emotion,cue_moral,response_moral,link,pos,previous_link,lower,is_synonym,degree
Abel,4.0,0,0,0,2,0,1,0,0.0,0,1,0.010826950826950829,n,0.0,False,,91.0
Aboriginal,21.0,0,0,0,2,0,0,0,0.0,0,0,0.012243845992005049,n s a,0.0,False,,97.0
Adam,2.0,0,0,0,0,2,0,0,0.0,0,0,0.0003571428571428571,n,0.0,False,,98.0
Advil,39.0,0,0,0,2,0,0,1,0.0,0,0,0.08812676732338331,n,0.0,False,,79.0
Africa,12.0,0,0,0,2,0,0,0,0.0,0,0,0.009665418434371426,n,0.0,False,,99.0
African,36.0,0,2,0,4,0,1,0,0.0,0,2,0.05725140398956213,n a,0.030303030303030304,False,,99.0
Alaska,20.0,0,0,0,1,0,0,0,0.0,0,0,0.04367715617715618,n,0.0,False,,100.0
Albert,8.0,0,0,0,0,0,2,0,0.0,0,0,0.004981529581529581,n,0.0,False,,100.0
Alpine,3.0,0,0,0,1,0,1,0,0.0,0,0,0.003652354129025401,s a,0.0,False,,97.0
Alps,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0002040816326530612,n,0.0,False,,98.0
Alvin,4.0,0,0,0,0,0,1,0,0.0,0,0,0.0027489093820752116,,0.0,False,,91.0
Amazon,24.0,0,0,0,1,0,2,0,0.0,0,0,0.009306060606060606,n,0.0,False,,100.0
America,48.0,0,2,0,3,0,2,0,0.0,0,3,0.10466124216790278,n,0.050505050505050504,False,,99.0
American,43.0,0,5,0,3,0,5,0,0.0,0,2,0.09345035265909028,n a,0.06,False,,100.0
Americans,44.0,0,3,0,1,0,4,2,0.0,0,1,0.054365686129184354,n,0.030303030303030304,False,,99.0
Antarctic,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0011578947368421054,n s,0.0,False,,100.0
April,25.0,0,0,0,0,0,0,0,0.0,0,0,0.007500000000000001,n,0.0,False,,100.0
Arab,41.0,0,3,0,3,0,0,0,0.0,0,2,0.09121182712955865,n,0.02,False,,100.0
Arabic,16.0,0,1,0,0,0,0,0,0.0,0,0,0.02087176478343991,n a,0.0,False,,100.0
Aries,17.0,0,1,0,1,0,0,0,0.0,0,1,0.01869016471266503,n,0.0,False,,97.0
Arizona,41.0,0,1,0,3,0,0,0,0.0,0,1,0.08095514173432106,n,0.0,False,,100.0
Arthur,56.0,0,0,0,0,0,0,0,0.0,0,0,0.011740036583786586,n,0.0,False,,96.0
Asia,16.0,0,0,0,0,0,2,0,0.0,0,0,0.008571157878517185,n,0.0,False,,99.0
Asian,13.0,0,1,0,1,0,1,0,0.0,0,0,0.007737414965986395,n a,0.0,False,,100.0
Australia,18.0,0,0,0,1,0,1,0,0.0,0,1,0.01393529694120801,n,0.0,False,,100.0
Australian,10.0,0,0,0,1,0,1,0,0.0,0,0,0.006615087152583813,n a,0.0,False,,100.0
Austria,28.0,0,2,0,2,0,1,0,0.0,0,1,0.029630032381228553,n,0.0,False,,99.0
BBQ,17.0,0,0,0,0,0,0,0,0.0,0,0,0.0072567717996289425,,0.0,False,,100.0
Bambi,8.0,0,1,0,0,0,2,1,0.0,0,0,0.005160887222742893,,0.0,False,,99.0
Band-Aid,65.0,0,3,0,10,0,2,2,0.0,0,5,0.2506129643035562,,0.14,False,,100.0
Barbie,73.0,0,0,0,0,0,3,1,0.0,0,0,0.01868798185941043,,0.0,False,,100.0
Batman,18.0,0,2,0,2,0,1,0,0.0,0,2,0.036894749939963487,n,0.02,False,,100.0
Beatles,25.0,0,1,0,1,0,2,2,0.0,0,1,0.017444003112401265,n,0.0,False,,100.0
Beethoven,8.0,0,0,0,0,0,0,0,0.0,0,0,0.0020385572388008817,n,0.0,False,,99.0
Belgian,8.0,0,1,0,1,0,1,0,0.0,0,1,0.006133786848072562,n a,0.0,False,,98.0
Belgium,22.0,0,1,0,2,0,0,0,0.0,0,0,0.020747686960198672,n,0.0,False,,99.0
Berlin,57.0,0,1,0,1,0,1,0,0.0,0,1,0.0385995235332496,n,0.0,False,,97.0
Beyoncé,42.0,0,0,0,1,0,2,0,0.0,0,0,0.008961824079414286,,0.0,False,,96.0
Billy,16.0,0,0,0,1,0,1,0,0.0,0,0,0.01739897284988814,n,0.0,False,,90.0
Bob,18.0,0,0,0,0,0,3,2,0.0,0,0,0.009692678859656412,n v,0.0,False,,99.0
Boston,24.0,0,1,0,0,0,1,1,0.0,0,1,0.024497350613964543,n,0.0,False,,99.0
Brazil,22.0,0,0,0,2,0,1,0,0.0,0,1,0.027611546515759446,n,0.0,False,,100.0
Britain,19.0,0,1,0,3,0,0,1,0.0,0,1,0.01010757055086952,n,0.0,False,,100.0
Britannica,6.0,0,0,0,0,0,0,0,0.0,0,0,0.009322453091297313,,0.0,False,,91.0
British,18.0,0,2,0,3,0,3,1,0.0,0,2,0.03186958150509675,n a,0.020202020202020204,False,,99.0
Broadway,8.0,0,0,0,0,0,0,0,0.0,0,0,0.001457070707070707,n,0.0,False,,100.0
Buddha,62.0,0,0,0,4,0,2,3,0.0,0,2,0.32398354688985886,n,0.21212121212121213,False,,99.0
Buddhism,69.0,0,1,0,4,0,2,3,0.0,0,3,0.5107967794009377,n,0.36363636363636365,False,,99.0
Buddhist,78.0,0,1,0,7,0,1,3,0.0,0,3,0.372114110531528,n a,0.22,False,,100.0
CAD,17.0,0,0,0,1,0,2,1,0.0,0,3,0.08206853292935687,n,0.05263157894736842,False,,76.0
CD,4.0,0,0,0,2,0,0,0,0.0,0,0,0.0020126186487995535,n s,0.0,False,,100.0
CEO,63.0,0,2,0,4,0,2,0,0.0,0,2,0.09706157983775635,n,0.04040404040404041,False,,99.0
CIA,72.0,0,5,0,5,0,4,2,0.0,0,6,0.15910714632815287,n,0.07,False,,100.0
Caesar,11.0,0,2,0,3,0,0,0,0.0,0,3,0.04924755720470006,n,0.04,False,,100.0
Cain,6.0,0,0,0,2,0,1,1,0.0,0,1,0.011169003265485677,n,0.0,False,,75.0
Cairo,5.0,0,2,0,2,0,0,0,0.0,0,1,0.0036441828881846987,n,0.0,False,,94.0
California,39.0,0,0,0,1,0,0,1,0.0,0,0,0.04851226741824201,n,0.0,False,,100.0
Canada,36.0,0,2,0,2,0,1,0,0.0,0,1,0.030390990011771285,n,0.0,False,,99.0
Canadian,21.0,0,0,0,0,0,5,1,0.0,0,0,0.01230776997832187,n a,0.0,False,,100.0
Capricorn,13.0,0,1,0,1,0,0,0,0.0,0,1,0.01100156485413982,n,0.0,False,,98.0
Caribbean,34.0,0,0,0,0,0,0,0,0.0,0,0,0.007827714329221868,n,0.0,False,,100.0
Celsius,28.0,0,0,0,0,0,0,0,0.0,0,0,0.00331356783919598,n,0.0,False,,100.0
Celtic,15.0,0,0,0,1,0,1,1,0.0,0,0,0.01840172294553576,n a,0.0,False,,96.0
Cheddar,1.0,0,0,0,0,0,0,0,0.0,0,0,0.00010151768945738796,n,0.0,False,,99.0
Chevy,18.0,0,1,0,1,0,1,0,0.0,0,1,0.009771929824561404,v,0.0,False,,95.0
Chicago,18.0,0,0,0,1,0,1,1,0.0,0,0,0.014708205769030511,n,0.0,False,,100.0
China,22.0,0,4,0,3,0,2,0,0.0,0,1,0.020084420995630948,n,0.0,False,,100.0
Chinese,9.0,0,0,0,0,0,1,0,0.0,0,0,0.005272418617934075,n a,0.0,False,,99.0
Chinese food,15.0,0,2,0,2,0,5,0,0.0,0,2,0.03259656192692587,,0.020202020202020204,False,,99.0
Christ,74.0,0,2,0,5,0,2,1,0.0,0,2,0.13540211689584652,n,0.06060606060606061,False,,99.0
Christian,80.0,0,4,0,13,0,5,1,0.0,0,10,0.5302194001863277,n a,0.37373737373737376,False,,99.0
Christianity,84.0,0,3,0,12,0,2,3,0.0,0,7,0.5602549894264963,n,0.3939393939393939,False,,99.0
Christmas,22.0,0,1,0,1,0,0,2,0.0,0,1,0.011445611846078466,n,0.0,False,,100.0
Christmas tree,37.0,0,1,0,1,0,2,2,0.0,0,1,0.05446916253607827,,0.04,False,,100.0
Cinderella,17.0,0,0,0,1,0,2,0,0.0,0,0,0.0065186843307446325,n,0.0,False,,100.0
Civil War,53.0,0,5,0,7,0,6,1,0.0,0,7,0.1813455047006059,,0.11,False,,100.0
Coca Cola,11.0,0,1,0,2,0,2,0,0.0,0,1,0.008983495709841725,,0.0,False,,100.0
Colorado,41.0,0,0,0,1,0,1,0,0.0,0,0,0.08368213156091943,n,0.0,False,,99.0
Colt,20.0,0,0,0,1,0,1,0,0.0,0,0,0.036246688468428705,n,0.0,False,,94.0
Columbus,20.0,0,1,0,3,0,2,0,0.0,0,2,0.04758135482501051,n,0.020618556701030927,False,,97.0
Creole,8.0,0,0,0,0,0,1,0,0.0,0,0,0.00585868063700576,n a,0.0,False,,87.0
Cuba,27.0,0,4,0,2,0,0,0,0.0,0,1,0.021275722937358063,n,0.0,False,,100.0
DNA,31.0,0,0,0,2,0,0,0,0.0,0,0,0.008879480370717485,n,0.0,False,,100.0
DVD,16.0,0,0,0,1,0,1,0,0.0,0,0,0.005256659377277934,n,0.0,False,,100.0
Dante,55.0,0,0,0,2,0,1,0,0.0,0,1,0.10589575816186154,n,0.0,False,,98.0
Darwin,14.0,0,0,0,0,0,1,0,0.0,0,0,0.0028543537801249365,n,0.0,False,,99.0
David,18.0,0,1,0,3,0,2,1,0.0,0,1,0.01526514122780365,n,0.0,False,,99.0
David Bowie,27.0,0,0,0,0,0,0,0,0.0,0,0,0.011294212153906186,,0.0,False,,92.0
Davidson,7.0,0,1,0,1,0,2,1,0.0,0,0,0.005044044001401077,,0.0,False,,88.0
December,3.0,0,0,0,0,0,1,0,0.0,0,0,0.0012236271828318956,n,0.0,False,,100.0
Dennis,38.0,0,0,0,0,0,1,0,0.0,0,0,0.05843948665197767,,0.0,False,,98.0
Disney,31.0,0,2,0,0,0,1,0,0.0,0,0,0.021370133009525307,n,0.0,False,,98.0
Doctor Who,15.0,0,0,0,1,0,0,0,0.0,0,0,0.0035849078053102595,,0.0,False,,97.0
Dolly,12.0,0,0,0,1,0,2,0,0.0,0,1,0.008275111470426932,n,0.0,False,,96.0
Donald,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0009,,0.0,False,,100.0
Dorothy,8.0,0,0,0,1,0,0,0,0.0,0,1,0.007414357624596543,,0.0,False,,96.0
Dracula,66.0,0,0,0,2,0,1,0,0.0,0,0,0.014521695304396691,n,0.0,False,,99.0
Dutch,14.0,0,1,0,4,0,1,0,0.0,0,1,0.012228962451555766,n a,0.0,False,,96.0
Easter,56.0,0,1,0,3,0,1,0,0.0,0,1,0.043318761842935344,n,0.0,False,,100.0
Ebola,74.0,0,2,0,5,0,2,1,0.0,0,1,0.12698370978983223,n,0.0,False,,84.0
Edison,1.0,0,0,0,0,0,0,0,0.0,0,0,0.00010307153164296021,n,0.0,False,,98.0
Egypt,10.0,0,1,0,2,0,1,0,0.0,0,1,0.011311111111111112,n,0.0,False,,100.0
Einstein,12.0,0,0,0,0,0,0,0,0.0,0,0,0.002055529955801798,n,0.0,False,,97.0
Elvis,16.0,0,0,0,0,0,0,0,0.0,0,0,0.0028563386260965066,n,0.0,False,,99.0
England,33.0,0,2,0,2,0,1,0,0.0,0,1,0.018232828257192503,n,0.0,False,,99.0
English,16.0,0,1,0,0,0,0,0,0.0,0,0,0.005172439309522201,n a,0.0,False,,99.0
Euro,60.0,0,0,0,1,0,0,0,0.0,0,0,0.023202224262830327,n,0.0,False,,99.0
Europe,19.0,0,2,0,3,0,0,0,0.0,0,1,0.024036281179138322,n,0.0,False,,98.0
European,26.0,0,3,0,2,0,1,1,0.0,0,0,0.02019013668830573,n a,0.0,False,,99.0
FBI,63.0,0,5,0,3,0,4,1,0.0,0,5,0.20238231976020055,n,0.10101010101010101,False,,99.0
Facebook,46.0,0,2,0,1,0,2,2,0.0,0,3,0.0946092000551752,,0.04040404040404041,False,,99.0
Fahrenheit,14.0,0,0,0,0,0,0,0,0.0,0,0,0.0026823511496878332,n a,0.0,False,,99.0
Florida,35.0,0,0,0,0,0,1,0,0.0,0,1,0.06719006195777809,n,0.0,False,,98.0
Ford,3.0,0,1,0,2,0,0,0,0.0,0,1,0.006121824303642486,n v,0.0,False,,99.0
Forrest,3.0,0,0,0,0,0,1,0,0.0,0,0,0.0008610433294830893,,0.0,False,,82.0
France,29.0,0,1,0,3,0,2,1,0.0,0,1,0.024011391688555896,n,0.0,False,,98.0
Frankenstein,72.0,0,0,0,0,0,3,0,0.0,0,0,0.04855083563710461,n,0.0,False,,97.0
French,27.0,0,0,0,1,0,1,2,0.0,0,0,0.016309933402379,n a v,0.0,False,,99.0
French horn,3.0,0,0,0,0,0,1,0,0.0,0,0,0.0032323232323232323,,0.0,False,,87.0
French toast,22.0,0,1,0,1,0,2,0,0.0,0,1,0.007370052999336789,,0.0,False,,100.0
Freud,14.0,0,1,0,0,0,0,0,0.0,0,0,0.005464789982541369,n,0.0,False,,97.0
Friday,31.0,0,1,0,1,0,2,0,0.0,0,1,0.013447247990105134,n,0.0,False,,100.0
GPS,8.0,0,1,0,1,0,0,1,0.0,0,1,0.005832297647814627,n,0.0,False,,99.0
Game Boy,11.0,0,0,0,1,0,1,2,0.0,0,0,0.005487035360749457,,0.0,False,,98.0
Gemini,34.0,0,0,0,2,0,0,0,0.0,0,0,0.012937897446561627,n,0.0,False,,97.0
George,23.0,0,1,0,1,0,2,0,0.0,0,1,0.010407562060145951,n,0.0,False,,99.0
German,26.0,0,2,0,3,0,1,1,0.0,0,1,0.030239815191756687,n a,0.0,False,,100.0
Germany,28.0,0,3,0,4,0,1,0,0.0,0,2,0.10111208250276196,n,0.06060606060606061,False,,99.0
God,73.0,0,4,0,11,0,4,3,0.0,0,7,0.26188426863959585,n,0.15151515151515152,False,,99.0
Google,13.0,0,1,0,2,0,3,0,0.0,0,1,0.012929511774424519,n v,0.0,False,,100.0
Gothic,29.0,0,1,0,2,0,2,1,0.0,0,1,0.07903934177835348,n s a,0.0,False,,100.0
Great Britain,27.0,0,2,0,3,0,3,0,0.0,0,1,0.02599890779692851,,0.0,False,,98.0
Greek,38.0,0,2,0,2,0,1,0,0.0,0,1,0.02607964559745142,n a,0.0,False,,100.0
HIV,87.0,0,3,0,7,0,2,0,0.0,0,2,1.037001722023367,n,0.6565656565656566,False,,99.0
Hades,75.0,0,1,0,4,0,1,0,0.0,0,4,0.7233135659363215,n,0.6595744680851063,False,,94.0
Halloween,18.0,0,0,0,0,0,4,0,0.0,0,0,0.005900556702809036,n,0.0,False,,100.0
Hamlet,5.0,0,0,0,0,0,0,0,0.0,0,0,0.0010458249233759437,n,0.0,False,,98.0
Harley,6.0,0,0,0,0,0,0,0,0.0,0,0,0.0011621237500634488,,0.0,False,,99.0
Harry Potter,12.0,0,0,0,1,0,2,1,0.0,0,0,0.009979165809238534,,0.0,False,,100.0
Hawaii,48.0,0,0,0,1,0,0,0,0.0,0,0,0.026568194507893,n,0.0,False,,99.0
Hawking,10.0,0,1,0,1,0,1,0,0.0,0,1,0.009305461712414071,n v,0.0,False,,92.0
Heather,11.0,0,1,0,1,0,1,0,0.0,0,1,0.014821029646287212,n,0.0,False,,90.0
Hebrew,74.0,0,0,0,3,0,0,0,0.0,0,2,0.16571201035316163,n a,0.02040816326530612,False,,98.0
Hispanic,5.0,0,2,0,0,0,0,0,0.0,0,0,0.002405050505050505,n a,0.0,False,,100.0
Holland,21.0,0,0,0,1,0,0,0,0.0,0,0,0.021672275775366987,n,0.0,False,,99.0
Hollywood,34.0,0,0,0,0,0,1,0,0.0,0,0,0.007940889684094933,n s a,0.0,False,,99.0
Hong Kong,13.0,0,0,0,2,0,0,0,0.0,0,0,0.009668253968253968,,0.0,False,,100.0
Hoover,9.0,0,2,0,1,0,0,0,0.0,0,1,0.008564141524546959,n v,0.0,False,,93.0
Hunger Games,13.0,0,4,0,5,0,1,1,0.0,0,4,0.08705775944041091,,0.061224489795918366,False,,98.0
IQ,17.0,0,0,0,0,0,0,0,0.0,0,0,0.002104040404040404,n,0.0,False,,100.0
Ibuprofen,36.0,0,0,0,3,0,1,2,0.0,0,0,0.058564237018687106,n,0.0,False,,97.0
Iceland,30.0,0,0,0,2,0,0,0,0.0,0,0,0.03095510473414278,n,0.0,False,,100.0
Ikea,4.0,0,0,0,1,0,0,1,0.0,0,1,0.0064680829948317,,0.0,False,,97.0
India,33.0,0,0,0,4,0,2,0,0.0,0,0,0.0368210451104526,n,0.0,False,,99.0
Indian,27.0,0,1,0,3,0,3,0,0.0,0,1,0.035345196878906665,n a,0.02,False,,100.0
Indians,16.0,0,0,0,1,0,0,0,0.0,0,0,0.014262626262626263,n,0.0,False,,100.0
Indie,8.0,0,1,0,1,0,1,1,0.0,0,0,0.0058033947724669376,n s,0.0,False,,97.0
Indonesia,41.0,0,1,0,2,0,0,0,0.0,0,1,0.03308240100447893,n,0.0,False,,99.0
Ireland,41.0,0,0,0,2,0,0,0,0.0,0,0,0.018254203526851955,n,0.0,False,,99.0
Irish,31.0,0,2,0,4,0,0,1,0.0,0,1,0.021268634995072113,n a,0.0,False,,100.0
Isaac,44.0,0,0,0,3,0,1,0,0.0,0,1,0.033922023838589846,n,0.0,False,,97.0
Islam,83.0,0,2,0,5,0,0,2,0.0,0,3,0.5642114403153364,n,0.37373737373737376,False,,99.0
Israel,66.0,0,5,0,5,0,3,2,0.0,0,4,0.266972951652411,n,0.12,False,,100.0
Italian,10.0,0,1,0,1,0,0,0,0.0,0,0,0.004027813930505962,n a,0.0,False,,100.0
Italy,17.0,0,0,0,3,0,1,1,0.0,0,0,0.017257070707070707,n,0.0,False,,100.0
Jack,13.0,0,0,0,1,0,3,0,0.0,0,0,0.01765378519984885,n v,0.0,False,,99.0
James,37.0,0,2,0,1,0,3,0,0.0,0,1,0.025337196875003454,n v,0.0,False,,98.0
James Bond,33.0,0,2,0,0,0,3,1,0.0,0,0,0.023142358526865935,,0.0,False,,97.0
Jane,27.0,0,0,0,0,0,3,0,0.0,0,0,0.015554545454545456,,0.0,False,,100.0
January,1.0,0,0,0,0,0,1,0,0.0,0,0,0.0019387755102040817,n,0.0,False,,100.0
Japan,27.0,0,2,0,3,0,2,0,0.0,0,2,0.0448153072169903,n v,0.020202020202020204,False,,99.0
Japanese,17.0,0,2,0,2,0,1,0,0.0,0,0,0.010025252525252526,n a,0.0,False,,100.0
Jell-O,24.0,0,1,0,2,0,0,2,0.0,0,0,0.009334633904023244,n,0.0,False,,98.0
Jesus,81.0,0,2,0,8,0,2,2,0.0,0,3,0.14961420940985207,n,0.06,False,,100.0
Jew,59.0,0,1,0,4,0,0,0,0.0,0,2,0.2427444626924683,n,0.16326530612244897,False,,98.0
Jewish,56.0,0,2,0,11,0,0,1,0.0,0,5,0.32958809484834073,a,0.23232323232323232,False,,99.0
Jews,56.0,0,1,0,4,0,0,0,0.0,0,3,0.28488370447519035,n,0.20202020202020202,False,,99.0
Jill,7.0,0,0,0,0,0,2,0,0.0,0,0,0.0015683718909525362,,0.0,False,,93.0
Joe,17.0,0,0,0,0,0,3,1,0.0,0,0,0.02117797989777422,,0.0,False,,93.0
John,16.0,0,2,0,3,9,1,0,0.0,0,2,0.06618686227792364,n,0.04040404040404041,False,,99.0
Joseph,45.0,0,2,0,1,0,3,0,0.0,0,1,0.05895951567044854,n,0.0,False,,98.0
Judaism,89.0,0,0,0,3,0,1,1,0.0,0,2,0.5727781668854213,n,0.3939393939393939,False,,99.0
July,5.0,0,0,0,0,0,0,0,0.0,0,0,0.0023254586683158114,n,0.0,False,,100.0
June,4.0,0,0,0,0,0,1,1,0.0,0,0,0.0008045327648342725,n,0.0,False,,100.0
Jupiter,6.0,0,1,0,0,0,0,0,0.0,0,0,0.005504027637421882,n,0.0,False,,99.0
Kansas,36.0,0,1,0,1,0,1,0,0.0,0,1,0.06730187855552287,n,0.0,False,,98.0
Kleenex,3.0,0,1,0,1,0,0,0,0.0,0,1,0.0034405702299664005,n,0.0,False,,100.0
Korea,25.0,0,5,0,4,0,0,0,0.0,0,2,0.1165863219043763,n,0.0707070707070707,False,,99.0
Kung fu,61.0,0,3,0,3,0,0,0,0.0,0,2,0.314396434757223,,0.2727272727272727,False,,99.0
LA,11.0,0,1,0,2,0,1,0,0.0,0,2,0.03434939359725292,n,0.020618556701030927,False,,97.0
LSD,51.0,0,0,0,2,0,0,0,0.0,0,0,0.054223940409116295,n,0.0,False,,100.0
Labrador,66.0,0,1,0,1,0,0,1,0.0,0,1,0.010156972659628798,n,0.0,False,,100.0
Las Vegas,42.0,0,2,0,4,0,3,1,0.0,0,5,0.13920234883590468,,0.09,False,,100.0
Latin,17.0,0,0,0,1,0,0,0,0.0,0,0,0.010714595732464588,n a,0.0,False,,99.0
Latino,20.0,0,2,0,1,0,1,0,0.0,0,0,0.01361780437696626,n a,0.0,False,,100.0
Lee,15.0,0,2,0,4,0,1,2,0.0,0,2,0.054521001931498586,n s,0.02666666666666667,False,,75.0
Lego,25.0,0,0,0,0,0,0,0,0.0,0,0,0.003983181212183365,n,0.0,False,,98.0
Leo,56.0,0,0,0,0,0,1,0,0.0,0,0,0.011693266897609049,n,0.0,False,,99.0
Lima,4.0,0,0,0,1,0,1,0,0.0,0,0,0.0040449438202247185,n,0.0,False,,89.0
Lincoln,7.0,0,1,0,3,0,1,0,0.0,0,2,0.03237655371269872,n,0.02040816326530612,False,,98.0
Linux,6.0,0,0,0,0,0,1,0,0.0,0,0,0.0013041301439552727,n,0.0,False,,89.0
London,11.0,0,0,0,0,0,3,0,0.0,0,0,0.002336693465264894,n,0.0,False,,100.0
Lord of the Rings,5.0,0,0,0,1,0,1,0,0.0,0,1,0.00532764834272372,,0.0,False,,100.0
Los Angeles,20.0,0,0,0,1,0,0,0,0.0,0,1,0.019790327385457048,,0.0,False,,99.0
Louisiana,47.0,0,1,0,1,0,0,0,0.0,0,1,0.08627898178918586,n,0.0,False,,98.0
Mac,5.0,0,0,0,1,0,0,0,0.0,0,0,0.0014717732115326148,n,0.0,False,,99.0
Madonna,53.0,0,5,0,6,0,0,0,0.0,0,6,0.1404982970925541,n,0.1,False,,100.0
Maine,45.0,0,0,0,0,0,1,0,0.0,0,0,0.10713899196042052,n,0.0,False,,92.0
Manhattan,20.0,0,1,0,1,0,1,1,0.0,0,0,0.007971247824340607,n,0.0,False,,100.0
March,13.0,0,0,0,0,0,1,0,0.0,0,0,0.013935387150139485,n v,0.0,False,,100.0
Mardi Gras,25.0,0,0,0,2,0,0,0,0.0,0,0,0.012573098023788979,,0.0,False,,96.0
Mario,32.0,0,1,0,0,0,1,0,0.0,0,0,0.005619377188975179,,0.0,False,,100.0
Mars,13.0,0,0,0,0,0,0,0,0.0,0,0,0.01193059434420881,n v,0.0,False,,99.0
Marx,39.0,0,3,0,2,0,1,0,0.0,0,1,0.019141494549104035,n,0.0,False,,96.0
Marxist,56.0,0,3,0,1,0,1,0,0.0,0,1,0.05884929282619879,n a,0.02127659574468085,False,,94.0
Mary,46.0,0,4,0,4,0,1,0,0.0,0,3,0.16997227409345964,n,0.13131313131313133,False,,99.0
McDonald's,65.0,0,3,0,5,0,3,2,0.0,0,3,0.07829510536721333,,0.05,False,,100.0
Mediterranean,11.0,0,0,0,0,0,0,0,0.0,0,0,0.0037232272473478505,n a,0.0,False,,100.0
Methodist,87.0,0,2,0,5,0,1,0,0.0,0,4,0.8486999897246175,n a,0.6082474226804123,False,,97.0
Mexican,16.0,0,2,0,1,0,0,0,0.0,0,0,0.010692074265369313,n a,0.0,False,,100.0
Mexico,28.0,0,2,0,3,0,2,0,0.0,0,1,0.028061301456778844,n,0.0,False,,100.0
Miami,27.0,0,0,0,1,0,2,0,0.0,0,1,0.01947357766652695,n,0.0,False,,100.0
Michael Jackson,27.0,0,2,0,5,0,2,2,0.0,0,1,0.04412841082152517,,0.020202020202020204,False,,99.0
Microsoft,26.0,0,2,0,3,0,3,0,0.0,0,4,0.07482947292580976,,0.050505050505050504,False,,99.0
Middle Ages,32.0,0,2,0,4,0,0,0,0.0,0,3,0.06574984432350434,,0.030303030303030304,False,,99.0
Middle East,40.0,0,6,0,8,0,1,2,0.0,0,5,0.2156207572906661,,0.13,False,,100.0
Midwest,33.0,0,1,0,2,0,1,0,0.0,0,1,0.046844889804073475,n,0.02040816326530612,False,,98.0
Milky Way,25.0,0,0,0,0,0,0,0,0.0,0,0,0.00520717377860235,,0.0,False,,98.0
Minecraft,66.0,0,1,0,2,0,0,0,0.0,0,1,0.04611172837194358,,0.03125,False,,96.0
Monday,13.0,0,0,0,0,0,0,1,0.0,0,0,0.006184333968590527,n,0.0,False,,98.0
Moore,19.0,0,3,0,2,0,2,1,0.0,0,2,0.12212037953243374,n,0.10126582278481013,False,,79.0
Mormon,52.0,0,2,0,10,0,2,3,0.0,0,6,0.4716901237719373,n a,0.36363636363636365,False,,99.0
Morse,73.0,0,0,0,0,0,0,0,0.0,0,0,0.017255057867302765,n,0.0,False,,91.0
Moses,34.0,0,2,0,4,0,0,0,0.0,0,3,0.09353649877459402,n,0.050505050505050504,False,,99.0
Mozart,9.0,0,0,0,0,0,0,0,0.0,0,0,0.002955820834608714,n,0.0,False,,99.0
Mr,11.0,0,1,0,2,0,1,1,0.0,0,1,0.010997474747474749,n,0.0,False,,100.0
Mrs,36.0,0,1,0,2,0,1,0,0.0,0,0,0.013491524826772494,n,0.0,False,,98.0
Muslim,71.0,0,2,0,5,0,0,0,0.0,0,3,0.40346011301740314,n a,0.23,False,,100.0
Mussolini,38.0,0,3,0,4,0,1,0,0.0,0,4,0.1136631723619096,n,0.043010752688172046,False,,93.0
NASA,3.0,0,0,0,0,0,0,0,0.0,0,0,0.0021212121212121214,n,0.0,False,,100.0
Native American,69.0,0,1,0,1,0,1,0,0.0,0,1,0.0419875522905826,,0.020202020202020204,False,,99.0
Native Americans,25.0,0,1,0,3,0,0,1,0.0,0,1,0.019383309491534603,,0.0,False,,99.0
Nazi,45.0,0,3,0,8,0,3,1,0.0,0,5,0.20008898121025365,n a,0.11224489795918367,False,,98.0
Neanderthal,15.0,0,0,0,0,0,0,0,0.0,0,0,0.006534839356852156,n s a,0.0,False,,94.0
Neptune,14.0,0,0,0,0,0,1,0,0.0,0,0,0.016220793796551374,n,0.0,False,,99.0
New England,35.0,0,2,0,2,0,1,1,0.0,0,2,0.13413914240178465,,0.10204081632653061,False,,98.0
New Orleans,15.0,0,0,0,0,0,1,1,0.0,0,0,0.009579899025426301,,0.0,False,,99.0
New Year,22.0,0,1,0,0,0,0,0,0.0,0,0,0.007412560300156603,,0.0,False,,100.0
New York,15.0,0,1,0,1,0,0,0,0.0,0,1,0.025996446880868992,,0.0,False,,100.0
New Zealand,21.0,0,0,0,2,0,0,1,0.0,0,0,0.010824689405368943,,0.0,False,,98.0
Newton,17.0,0,2,0,2,0,1,0,0.0,0,2,0.06329292929292929,n,0.05263157894736842,False,,95.0
Nile,2.0,0,0,0,2,0,0,0,0.0,0,1,0.005814141414141414,n,0.0,False,,100.0
Nintendo,62.0,0,0,0,2,0,0,1,0.0,0,0,0.010841016495577963,,0.0,False,,100.0
Noel,10.0,0,2,0,1,0,2,1,0.0,0,1,0.008731570429379708,n,0.0,False,,96.0
Nordic,20.0,0,1,0,3,0,1,0,0.0,0,2,0.03157119257069898,n s a,0.02127659574468085,False,,94.0
Norway,16.0,0,0,0,1,0,0,1,0.0,0,0,0.012931604281825194,n,0.0,False,,100.0
November,11.0,0,1,0,0,0,1,0,0.0,0,1,0.004981632653061224,n,0.0,False,,100.0
OCD,35.0,0,3,0,2,0,3,1,0.0,0,1,0.03535447620311062,,0.0,False,,95.0
OK,42.0,0,5,0,6,0,8,1,0.0,0,7,0.2569677589156365,n s r,0.17708333333333334,False,,96.0
